
192.168.1.1 - - [05/Feb/2024:12:30:45] "GET /index.html HTTP/1.0" 200 3456
192.168.1.2 - - [05/Feb/2024:12:31:02] "POST /submit_form.php HTTP/1.1" 302 143
192.168.1.3 - - [05/Feb/2024:12:32:15] "GET /images/logo.png HTTP/1.1" 404 0
192.168.1.4 - - [05/Feb/2024:12:32:45] "GET /styles/main.css HTTP/1.1" 200 987
192.168.1.5 - - [05/Feb/2024:12:33:10] "GET /scripts/script.js HTTP/1.1" 200 2345
192.168.1.6 - - [05/Feb/2024:12:34:20] "GET /favicon.ico HTTP/1.1" 200 456
192.168.1.7 - - [05/Feb/2024:12:35:30] "GET /about.html HTTP/1.1" 200 1897
192.168.1.8 - - [05/Feb/2024:12:36:12] "GET /contact.html?utm_source=google&utm_campaign=ads HTTP/1.0" 200 2134
192.168.1.9 - - [05/Feb/2024:12:36:45] "GET /product/12345 HTTP/1.1" 404 0
192.168.1.10 - - [05/Feb/2024:12:37:20] "GET /product/67890?ref=xyz HTTP/1.0" 200 5678


